Text1,Text2,Doc,Event,Label
Toll rises to [CASUALTIES-ARG] 35 [CASUALTIES-ARG]  dead in Benghazi car bombing say medics,BENGHAZI The toll from a twin car bombing in Libyas eastern city of Benghazi rose to 35 on Wednesday with about [CASUALTIES-ARG] 60 people wounded [CASUALTIES-ARG]  medical officials said, Toll rises to 35 dead in Benghazi car bombing say medics.  BENGHAZI: The toll from a twin car bombing in Libyas eastern city of Benghazi rose to 35 on Wednesday with about 60 people wounded medical officials said.  The first blast on Tuesday evening hit worshippers leaving a mosque in Benghazis central Al Salmani district.  The second about 15 minutes later inflicted a large number of asualties among people who had gathered at the scene.  Senior security officials were among the casualties.  The toll was one of the highest from a single attack since Libya slid into turmoil after the uprising that toppled Muammar Gaddafi in 2011 Benghazi is controlled by the Libyan National Army LNA which is led by powerful eastern-based commander Khalifa Haftar and was battling Islamists and other opponents in the port city until late last year. ,TERRORIST_ATTACK,0
Toll rises to [CASUALTIES-ARG] 35 [CASUALTIES-ARG]  dead in Benghazi car bombing say medics,The second about 15 minutes later inflicted a [CASUALTIES-ARG] large number of asualties [CASUALTIES-ARG]  among people who had gathered at the scene, Toll rises to 35 dead in Benghazi car bombing say medics.  BENGHAZI: The toll from a twin car bombing in Libyas eastern city of Benghazi rose to 35 on Wednesday with about 60 people wounded medical officials said.  The first blast on Tuesday evening hit worshippers leaving a mosque in Benghazis central Al Salmani district.  The second about 15 minutes later inflicted a large number of asualties among people who had gathered at the scene.  Senior security officials were among the casualties.  The toll was one of the highest from a single attack since Libya slid into turmoil after the uprising that toppled Muammar Gaddafi in 2011 Benghazi is controlled by the Libyan National Army LNA which is led by powerful eastern-based commander Khalifa Haftar and was battling Islamists and other opponents in the port city until late last year. ,TERRORIST_ATTACK,1
BENGHAZI The toll from a twin car bombing in Libyas eastern city of Benghazi rose to 35 on Wednesday with about [CASUALTIES-ARG] 60 people wounded [CASUALTIES-ARG]  medical officials said,The second about 15 minutes later inflicted a [CASUALTIES-ARG] large number of asualties [CASUALTIES-ARG]  among people who had gathered at the scene, Toll rises to 35 dead in Benghazi car bombing say medics.  BENGHAZI: The toll from a twin car bombing in Libyas eastern city of Benghazi rose to 35 on Wednesday with about 60 people wounded medical officials said.  The first blast on Tuesday evening hit worshippers leaving a mosque in Benghazis central Al Salmani district.  The second about 15 minutes later inflicted a large number of asualties among people who had gathered at the scene.  Senior security officials were among the casualties.  The toll was one of the highest from a single attack since Libya slid into turmoil after the uprising that toppled Muammar Gaddafi in 2011 Benghazi is controlled by the Libyan National Army LNA which is led by powerful eastern-based commander Khalifa Haftar and was battling Islamists and other opponents in the port city until late last year. ,TERRORIST_ATTACK,1
Passengers of a [PARTICIPANT-ARG] Saudia Airlines flight no SV895 from Lucknow to Riyadh [PARTICIPANT-ARG]  had a narrow escape when the aircraft developed a snag while taking off at the Chaudhary Charan Singh airport in Lucknow on Wednesday,Passengers of a Saudia Airlines [PARTICIPANT-ARG] flight [PARTICIPANT-ARG]  no SV895 from Lucknow to Riyadh had a narrow escape when the aircraft developed a snag while taking off at the Chaudhary Charan Singh airport in Lucknow on Wednesday, Narrow escape for Saudia airline passengers at Amausi.  Passengers of a Saudia Airlines flight no SV895 from Lucknow to Riyadh had a narrow escape when the aircraft developed a snag while taking off at the Chaudhary Charan Singh airport in Lucknow on Wednesday.  The flight developed a technical problem in its nose-wheel and the pilot had to apply emergency brakes to avert an accident the senior airport official said.He. said all the 298 passengers and the crew members were safe.  According to information the plane was supposed to take off at 5.30 pm but was still stranded on the runway.  “A number of flights that were scheduled to land and depart from Lucknow airport either got delayed or were diverted” said airport director AK Sharma.  “Six arrivals from various stations have been diverted to Delhi and three departure held up.  Efforts are on to vacate the runway with the help of experts and engineers at the airport” Sharma said.  The flights that were diverted to Delhi included three GoAir two Indigo and one Alliance Air flights.  Departure of two Jet Airways and one Vistara flights to Delhi were held up an airport official said.  Sharma said according to the rules no flight could land or take off in case an aircraft got stuck on the runway.  He said nothing could be said as to when the runway would be cleared. ,TRANSPORT_HAZARDS,1
[CASUALTIES-ARG] Three persons killed [CASUALTIES-ARG]  in carvan collision,[CASUALTIES-ARG] Three persons of the same family including a woman were killed and a twoyearold girl child and another woman suffered injuries [CASUALTIES-ARG]  in a carvan collision near Keerambur toll plaza near here on Wednesday, Three persons killed in car-van collision.  Three persons of the same family including a woman were killed and a two-year-old girl child and another woman suffered injuries in a car-van collision near Keerambur toll plaza near here on Wednesday.  According to police sources Ravindran 62 of P and T street in Madurai a retired bank officer along with his wife Malarkodi 60 daughter Bagyasri 25 and two-year-old granddaughter Maithreyi were proceeding to Bengaluru in a car with another relative Azhagu Manivannan on the wheels.  Ravindran and Malarkodi were to catch a flight from Bengaluru to Germany to visit their elder daughter.  When the car was nearing toll plaza the driver lost control of the vehicle which hit the median and later collided with a van heading towards Karur.  Ravindran Bagyasri and Azhagu Manivannan were killed on the spot.  Malarkodi and the baby girl suffered serious injuries and were rushed to a private hospital in the town police sources said. ,TRANSPORT_HAZARDS,1
[CASUALTIES-ARG] Three persons killed [CASUALTIES-ARG]  in carvan collision,[CASUALTIES-ARG] Ravindran Bagyasri and Azhagu Manivannan were killed on the spot [CASUALTIES-ARG], Three persons killed in car-van collision.  Three persons of the same family including a woman were killed and a two-year-old girl child and another woman suffered injuries in a car-van collision near Keerambur toll plaza near here on Wednesday.  According to police sources Ravindran 62 of P and T street in Madurai a retired bank officer along with his wife Malarkodi 60 daughter Bagyasri 25 and two-year-old granddaughter Maithreyi were proceeding to Bengaluru in a car with another relative Azhagu Manivannan on the wheels.  Ravindran and Malarkodi were to catch a flight from Bengaluru to Germany to visit their elder daughter.  When the car was nearing toll plaza the driver lost control of the vehicle which hit the median and later collided with a van heading towards Karur.  Ravindran Bagyasri and Azhagu Manivannan were killed on the spot.  Malarkodi and the baby girl suffered serious injuries and were rushed to a private hospital in the town police sources said. ,TRANSPORT_HAZARDS,1
[CASUALTIES-ARG] Three persons killed [CASUALTIES-ARG]  in carvan collision,[CASUALTIES-ARG] Malarkodi and the baby girl suffered serious injuries [CASUALTIES-ARG]  and were rushed to a private hospital in the town police sources said, Three persons killed in car-van collision.  Three persons of the same family including a woman were killed and a two-year-old girl child and another woman suffered injuries in a car-van collision near Keerambur toll plaza near here on Wednesday.  According to police sources Ravindran 62 of P and T street in Madurai a retired bank officer along with his wife Malarkodi 60 daughter Bagyasri 25 and two-year-old granddaughter Maithreyi were proceeding to Bengaluru in a car with another relative Azhagu Manivannan on the wheels.  Ravindran and Malarkodi were to catch a flight from Bengaluru to Germany to visit their elder daughter.  When the car was nearing toll plaza the driver lost control of the vehicle which hit the median and later collided with a van heading towards Karur.  Ravindran Bagyasri and Azhagu Manivannan were killed on the spot.  Malarkodi and the baby girl suffered serious injuries and were rushed to a private hospital in the town police sources said. ,TRANSPORT_HAZARDS,0
[CASUALTIES-ARG] Three persons of the same family including a woman were killed and a twoyearold girl child and another woman suffered injuries [CASUALTIES-ARG]  in a carvan collision near Keerambur toll plaza near here on Wednesday,[CASUALTIES-ARG] Ravindran Bagyasri and Azhagu Manivannan were killed on the spot [CASUALTIES-ARG], Three persons killed in car-van collision.  Three persons of the same family including a woman were killed and a two-year-old girl child and another woman suffered injuries in a car-van collision near Keerambur toll plaza near here on Wednesday.  According to police sources Ravindran 62 of P and T street in Madurai a retired bank officer along with his wife Malarkodi 60 daughter Bagyasri 25 and two-year-old granddaughter Maithreyi were proceeding to Bengaluru in a car with another relative Azhagu Manivannan on the wheels.  Ravindran and Malarkodi were to catch a flight from Bengaluru to Germany to visit their elder daughter.  When the car was nearing toll plaza the driver lost control of the vehicle which hit the median and later collided with a van heading towards Karur.  Ravindran Bagyasri and Azhagu Manivannan were killed on the spot.  Malarkodi and the baby girl suffered serious injuries and were rushed to a private hospital in the town police sources said. ,TRANSPORT_HAZARDS,1
[CASUALTIES-ARG] Three persons of the same family including a woman were killed and a twoyearold girl child and another woman suffered injuries [CASUALTIES-ARG]  in a carvan collision near Keerambur toll plaza near here on Wednesday,[CASUALTIES-ARG] Malarkodi and the baby girl suffered serious injuries [CASUALTIES-ARG]  and were rushed to a private hospital in the town police sources said, Three persons killed in car-van collision.  Three persons of the same family including a woman were killed and a two-year-old girl child and another woman suffered injuries in a car-van collision near Keerambur toll plaza near here on Wednesday.  According to police sources Ravindran 62 of P and T street in Madurai a retired bank officer along with his wife Malarkodi 60 daughter Bagyasri 25 and two-year-old granddaughter Maithreyi were proceeding to Bengaluru in a car with another relative Azhagu Manivannan on the wheels.  Ravindran and Malarkodi were to catch a flight from Bengaluru to Germany to visit their elder daughter.  When the car was nearing toll plaza the driver lost control of the vehicle which hit the median and later collided with a van heading towards Karur.  Ravindran Bagyasri and Azhagu Manivannan were killed on the spot.  Malarkodi and the baby girl suffered serious injuries and were rushed to a private hospital in the town police sources said. ,TRANSPORT_HAZARDS,1
[CASUALTIES-ARG] Ravindran Bagyasri and Azhagu Manivannan were killed on the spot [CASUALTIES-ARG],[CASUALTIES-ARG] Malarkodi and the baby girl suffered serious injuries [CASUALTIES-ARG]  and were rushed to a private hospital in the town police sources said, Three persons killed in car-van collision.  Three persons of the same family including a woman were killed and a two-year-old girl child and another woman suffered injuries in a car-van collision near Keerambur toll plaza near here on Wednesday.  According to police sources Ravindran 62 of P and T street in Madurai a retired bank officer along with his wife Malarkodi 60 daughter Bagyasri 25 and two-year-old granddaughter Maithreyi were proceeding to Bengaluru in a car with another relative Azhagu Manivannan on the wheels.  Ravindran and Malarkodi were to catch a flight from Bengaluru to Germany to visit their elder daughter.  When the car was nearing toll plaza the driver lost control of the vehicle which hit the median and later collided with a van heading towards Karur.  Ravindran Bagyasri and Azhagu Manivannan were killed on the spot.  Malarkodi and the baby girl suffered serious injuries and were rushed to a private hospital in the town police sources said. ,TRANSPORT_HAZARDS,0
HYDERABAD 25 students died and several others suffered severe injuries when a school bus was hit by Nanded Passenger train at an unmanned railway level crossing in Masaipet village of Medak district on [TIME-ARG] Thursday morning [TIME-ARG],The mishap occurred at [TIME-ARG] 910am on Thursday morning [TIME-ARG]  when the school bus was crossing an unmanned level crossing at Masaipet village, 25 students among 26 killed as train hits school bus in Telangana.  HYDERABAD: 25 students died and several others suffered severe injuries when a school bus was hit by Nanded Passenger train at an unmanned railway level crossing in Masaipet village of Medak district on Thursday morning.  All the students belong to Kakatiya Techno School in Toopran.  The mishap occurred at 9.10am. on Thursday morning when the school bus was crossing an unmanned level crossing at Masaipet village.  When the accident occurred there were 40 students from Islampur and Zakeerpalli villages in the bus and the incident occurred while the students were going to school.  Villagers allege that there was no one at the railway gate and this resulted in the accident.  Railway authorities for reasons best known to them had left the gate works unfinished at the level crossing.  Villagers alleged that they had brought to the notice of railway officials the need for a railway gate to avoid accidents.  They alleged that several accidents had occurred at the spot in the past.  The impact of the collision was so severe that the train dragged the bus for about a kilometre.  Villagers blame railway authorities for the mishap but grieving parents found fault with the bus driver for overspeeding and negligence while crossing the railway track.  Eyewitnesses said the bus driver did not notice the incoming train leading to the gory accident.  It all happened in no time.  Even before we realised what had happened it was all over.  Pieces of flesh and blood were strewn all around.  The bus was mangled beyond recognition.  It was a very sad sight a teacher who was present at the accident spot told mediapersons.  A mother who lost her child in the terrible tragedy said the bus left her house only 10 minutes earlier.  It was the last goodbye by my child she said amidst tears while recalling the tata waving of hand as a gesture of goodbye of her son.  Telangana chief minister K Chandrasekhar Rao Andhra Pradeshs chief minister N Chandrababu Naidu and YSRCP leader YS Jaganmohan Reddy expressed shock over the incident.  A probe has been ordered.  Union railway minister Sadananda Gowda too expressed grief over the loss of lives.  South Central Railway CPRO K Samba Siva Rao said that 26 people including 25 students and the bus driver were reported dead in the accident and the death toll might increase as several more students suffered injuries.  Immediately after the incident we dispatched relief vehicles from Secunderabad and Hyderabad.  All our senior officials have reached the place and our general manager is also going there to personally supervise the relief work the CPRO said.  The injured students were rushed to various hospitals in Toopran town. ,TRANSPORT_HAZARDS,1
25 students among 26 killed as train hits school bus in [PLACE-ARG] Telangana [PLACE-ARG],HYDERABAD 25 students died and several others suffered severe injuries when a school bus was hit by Nanded Passenger train at an unmanned railway level crossing in [PLACE-ARG] Masaipet village of Medak district [PLACE-ARG]  on Thursday morning, 25 students among 26 killed as train hits school bus in Telangana.  HYDERABAD: 25 students died and several others suffered severe injuries when a school bus was hit by Nanded Passenger train at an unmanned railway level crossing in Masaipet village of Medak district on Thursday morning.  All the students belong to Kakatiya Techno School in Toopran.  The mishap occurred at 9.10am. on Thursday morning when the school bus was crossing an unmanned level crossing at Masaipet village.  When the accident occurred there were 40 students from Islampur and Zakeerpalli villages in the bus and the incident occurred while the students were going to school.  Villagers allege that there was no one at the railway gate and this resulted in the accident.  Railway authorities for reasons best known to them had left the gate works unfinished at the level crossing.  Villagers alleged that they had brought to the notice of railway officials the need for a railway gate to avoid accidents.  They alleged that several accidents had occurred at the spot in the past.  The impact of the collision was so severe that the train dragged the bus for about a kilometre.  Villagers blame railway authorities for the mishap but grieving parents found fault with the bus driver for overspeeding and negligence while crossing the railway track.  Eyewitnesses said the bus driver did not notice the incoming train leading to the gory accident.  It all happened in no time.  Even before we realised what had happened it was all over.  Pieces of flesh and blood were strewn all around.  The bus was mangled beyond recognition.  It was a very sad sight a teacher who was present at the accident spot told mediapersons.  A mother who lost her child in the terrible tragedy said the bus left her house only 10 minutes earlier.  It was the last goodbye by my child she said amidst tears while recalling the tata waving of hand as a gesture of goodbye of her son.  Telangana chief minister K Chandrasekhar Rao Andhra Pradeshs chief minister N Chandrababu Naidu and YSRCP leader YS Jaganmohan Reddy expressed shock over the incident.  A probe has been ordered.  Union railway minister Sadananda Gowda too expressed grief over the loss of lives.  South Central Railway CPRO K Samba Siva Rao said that 26 people including 25 students and the bus driver were reported dead in the accident and the death toll might increase as several more students suffered injuries.  Immediately after the incident we dispatched relief vehicles from Secunderabad and Hyderabad.  All our senior officials have reached the place and our general manager is also going there to personally supervise the relief work the CPRO said.  The injured students were rushed to various hospitals in Toopran town. ,TRANSPORT_HAZARDS,1
[CASUALTIES-ARG] 25 students among 26 killed [CASUALTIES-ARG]  as train hits school bus in Telangana,HYDERABAD [CASUALTIES-ARG] 25 students died and several others suffered severe injuries [CASUALTIES-ARG]  when a school bus was hit by Nanded Passenger train at an unmanned railway level crossing in Masaipet village of Medak district on Thursday morning, 25 students among 26 killed as train hits school bus in Telangana.  HYDERABAD: 25 students died and several others suffered severe injuries when a school bus was hit by Nanded Passenger train at an unmanned railway level crossing in Masaipet village of Medak district on Thursday morning.  All the students belong to Kakatiya Techno School in Toopran.  The mishap occurred at 9.10am. on Thursday morning when the school bus was crossing an unmanned level crossing at Masaipet village.  When the accident occurred there were 40 students from Islampur and Zakeerpalli villages in the bus and the incident occurred while the students were going to school.  Villagers allege that there was no one at the railway gate and this resulted in the accident.  Railway authorities for reasons best known to them had left the gate works unfinished at the level crossing.  Villagers alleged that they had brought to the notice of railway officials the need for a railway gate to avoid accidents.  They alleged that several accidents had occurred at the spot in the past.  The impact of the collision was so severe that the train dragged the bus for about a kilometre.  Villagers blame railway authorities for the mishap but grieving parents found fault with the bus driver for overspeeding and negligence while crossing the railway track.  Eyewitnesses said the bus driver did not notice the incoming train leading to the gory accident.  It all happened in no time.  Even before we realised what had happened it was all over.  Pieces of flesh and blood were strewn all around.  The bus was mangled beyond recognition.  It was a very sad sight a teacher who was present at the accident spot told mediapersons.  A mother who lost her child in the terrible tragedy said the bus left her house only 10 minutes earlier.  It was the last goodbye by my child she said amidst tears while recalling the tata waving of hand as a gesture of goodbye of her son.  Telangana chief minister K Chandrasekhar Rao Andhra Pradeshs chief minister N Chandrababu Naidu and YSRCP leader YS Jaganmohan Reddy expressed shock over the incident.  A probe has been ordered.  Union railway minister Sadananda Gowda too expressed grief over the loss of lives.  South Central Railway CPRO K Samba Siva Rao said that 26 people including 25 students and the bus driver were reported dead in the accident and the death toll might increase as several more students suffered injuries.  Immediately after the incident we dispatched relief vehicles from Secunderabad and Hyderabad.  All our senior officials have reached the place and our general manager is also going there to personally supervise the relief work the CPRO said.  The injured students were rushed to various hospitals in Toopran town. ,TRANSPORT_HAZARDS,1
The mishap occurred at 910am on Thursday morning when the [REASON-ARG] school bus was crossing an unmanned level crossing at Masaipet village [REASON-ARG],Villagers allege that there was [REASON-ARG] no one at the railway gate [REASON-ARG]  and this resulted in the accident, 25 students among 26 killed as train hits school bus in Telangana.  HYDERABAD: 25 students died and several others suffered severe injuries when a school bus was hit by Nanded Passenger train at an unmanned railway level crossing in Masaipet village of Medak district on Thursday morning.  All the students belong to Kakatiya Techno School in Toopran.  The mishap occurred at 9.10am. on Thursday morning when the school bus was crossing an unmanned level crossing at Masaipet village.  When the accident occurred there were 40 students from Islampur and Zakeerpalli villages in the bus and the incident occurred while the students were going to school.  Villagers allege that there was no one at the railway gate and this resulted in the accident.  Railway authorities for reasons best known to them had left the gate works unfinished at the level crossing.  Villagers alleged that they had brought to the notice of railway officials the need for a railway gate to avoid accidents.  They alleged that several accidents had occurred at the spot in the past.  The impact of the collision was so severe that the train dragged the bus for about a kilometre.  Villagers blame railway authorities for the mishap but grieving parents found fault with the bus driver for overspeeding and negligence while crossing the railway track.  Eyewitnesses said the bus driver did not notice the incoming train leading to the gory accident.  It all happened in no time.  Even before we realised what had happened it was all over.  Pieces of flesh and blood were strewn all around.  The bus was mangled beyond recognition.  It was a very sad sight a teacher who was present at the accident spot told mediapersons.  A mother who lost her child in the terrible tragedy said the bus left her house only 10 minutes earlier.  It was the last goodbye by my child she said amidst tears while recalling the tata waving of hand as a gesture of goodbye of her son.  Telangana chief minister K Chandrasekhar Rao Andhra Pradeshs chief minister N Chandrababu Naidu and YSRCP leader YS Jaganmohan Reddy expressed shock over the incident.  A probe has been ordered.  Union railway minister Sadananda Gowda too expressed grief over the loss of lives.  South Central Railway CPRO K Samba Siva Rao said that 26 people including 25 students and the bus driver were reported dead in the accident and the death toll might increase as several more students suffered injuries.  Immediately after the incident we dispatched relief vehicles from Secunderabad and Hyderabad.  All our senior officials have reached the place and our general manager is also going there to personally supervise the relief work the CPRO said.  The injured students were rushed to various hospitals in Toopran town. ,TRANSPORT_HAZARDS,1
